,Name of the Company,BSE_Symbol,NSE_Symbol
167,Page Industries Ltd,532827,PAGEIND
168,Glaxosmithkline Pharmaceuticals Ltd,500660,GLAXO
169,One 97 Communications Ltd,543396,PAYTM
170,MRF Ltd,500290,MRF
171,Federal Bank Ltd,500469,FEDERALBNK
172,Bank of India,532149,BANKINDIA
173,Procter & Gamble Hygiene and Health Care Ltd,500459,PGHH
174,UCO Bank,532505,UCOBANK
175,Mphasis Ltd,526299,MPHASIS
176,Blue Star Ltd,500067,BLUESTARCO
177,Supreme Industries Ltd,509930,SUPREMEIND
178,Petronet LNG Ltd,532522,PETRONET
179,Fertilizers & Chemicals Travancore Ltd,590024,FACT
180,IDFC First Bank Ltd,539437,IDFCFIRSTB
181,Jubilant Foodworks Ltd,533155,JUBLFOOD
182,APL Apollo Tubes Ltd,533758,APLAPOLLO
183,Aditya Birla Capital Ltd,540691,ABCAPITAL
184,Gujarat Fluorochemicals Ltd,542812,FLUOROCHEM
185,AU Small Finance Bank Ltd,540611,AUBANK
186,Container Corporation Of India Ltd,531344,CONCOR
187,Tata Communications Ltd,500483,TATACOMM
188,Indian Renewable Energy Development Agency Ltd,544026,IREDA
189,Glenmark Pharmaceuticals Ltd,532296,GLENMARK
190,Biocon Ltd,532523,BIOCON
191,Bharat Dynamics Ltd,541143,BDL
192,360 ONE WAM Ltd,542772,360ONE
193,Thermax Ltd,500411,THERMAX
194,Central Bank of India,532885,CENTRALBK
195,Godrej Industries Ltd,500164,GODREJIND
196,Bank of Maharashtra,532525,MAHABANK
197,Motilal Oswal Financial Services Ltd,532892,MOTILALOFS
198,Housing & Urban Development Corporation Ltd,540530,HUDCO
199,GE Vernova T&D India Ltd,522275,GVT%26D
200,Astral Ltd,532830,ASTRAL
201,KPIT Technologies Ltd,542651,KPITTECH
202,Max Financial Services Ltd,500271,MFSL
203,ACC Ltd,500410,ACC
204,L&T Finance Ltd,533519,LTF
205,National Aluminium Company Ltd,532234,NATIONALUM
206,Tata Elxsi Ltd,500408,TATAELXSI
207,Ipca Laboratories Ltd,524494,IPCALAB
208,J K Cements Ltd,532644,JKCEMENT
209,Nippon Life India Asset Management Ltd,540767,NAM-INDIA
210,Mahindra & Mahindra Financial Services Ltd,532720,M%26MFIN
211,SJVN Ltd,533206,SJVN
212,Escorts Kubota Ltd,500495,ESCORTS
213,Adani Wilmar Ltd,543458,AWL
214,Cochin Shipyard Ltd,540678,COCHINSHIP
215,Narayana Hrudayalaya Ltd,539551,NH
216,CRISIL Ltd,500092,CRISIL
217,Global Health Ltd,543654,MEDANTA
218,Dalmia Bharat Ltd,542216,DALBHARAT
219,Ajanta Pharma Ltd,532331,AJANTPHARM
220,Sona BLW Precision Forgings Ltd,543300,SONACOMS
221,3M India Ltd,523395,3MINDIA
222,KEI Industries Ltd,517569,KEI
223,Metro Brands Ltd,543426,METROBRAND
224,NLC India Ltd,513683,NLCINDIA
225,Laurus Labs Ltd,540222,LAURUSLABS
226,Tata Investment Corporation Ltd,501301,TATAINVEST
227,Honeywell Automation India Ltd,517174,HONAUT
228,Exide Industries Ltd,500086,EXIDEIND
229,Cholamandalam Financial Holdings Ltd,504973,CHOLAHLDNG
230,Suven Pharmaceuticals Ltd,543064,SUVENPHAR
231,Aditya Birla Fashion & Retail Ltd,535755,ABFRL
232,AIA Engineering Ltd,532683,AIAENG
233,K P R Mill Ltd,532889,KPRMILL
234,LIC Housing Finance Ltd,500253,LICHSGFIN
235,Radico Khaitan Ltd,532497,RADICO
236,Go Digit General Insurance Ltd,544179,GODIGIT
237,Punjab & Sind Bank,533295,PSB
238,Tata Technologies Ltd,544028,TATATECH
239,Aegis Logistics Ltd,500003,AEGISLOG
240,Syngene International Ltd,539268,SYNGENE
241,IRB Infrastructure Developers Ltd,532947,IRB
242,Godfrey Phillips India Ltd,500163,GODFRYPHLP
243,Kaynes Technology India Ltd,543664,KAYNES
244,Gujarat Gas Ltd,539336,GUJGASLTD
245,Deepak Nitrite Ltd,506401,DEEPAKNTR
246,Piramal Pharma Ltd,543635,PPLPHARMA
247,ICICI Securities Ltd,541179,ISEC
248,Gillette India Ltd,507815,GILLETTE
249,Gland Pharma Ltd,543245,GLAND
250,Authum Investment & Infrastructure Ltd,539177,AIIL
251,J B Chemicals & Pharmaceuticals Ltd,506943,JBCHEPHARM
252,Indraprastha Gas Ltd,532514,IGL
253,Firstsource Solutions Ltd,532809,FSL
254,Endurance Technologies Ltd,540153,ENDURANCE
255,Apollo Tyres Ltd,500877,APOLLOTYRE
256,New India Assurance Company Ltd,540769,NIACL
257,ITI Ltd,523610,ITI
258,Sumitomo Chemical India Ltd,542920,SUMICHEM
259,Multi Commodity Exchange of India Ltd,534091,MCX
260,PG Electroplast Ltd,533581,PGEL
261,Bandhan Bank Ltd,541153,BANDHANBNK
262,Brigade Enterprises Ltd,532929,BRIGADE
263,Apar Industries Ltd,532259,APARINDS
264,Emami Ltd,531162,EMAMILTD
265,Chambal Fertilisers & Chemicals Ltd,500085,CHAMBLFERT
266,Poly Medicure Ltd,531768,POLYMED
267,Sun TV Network Ltd,532733,SUNTV
268,Aditya Birla Real Estate Ltd,500040,ABREL
269,Poonawalla Fincorp Ltd,524000,POONAWALLA
270,Crompton Greaves Consumer Electricals Ltd,539876,CROMPTON
271,Motherson Sumi Wiring India Ltd,543498,MSUMI
272,Castrol India Ltd,500870,CASTROLIND
273,Bayer CropScience Ltd,506285,BAYERCROP
274,Star Health & Allied Insurance Company Ltd,543412,STARHEALTH
275,Himadri Speciality Chemical Ltd,500184,HSCL
276,NBCC (India) Ltd,534309,NBCC
277,EIH Ltd,500840,EIHOTEL
278,Hindustan Copper Ltd,513599,HINDCOPPER
279,PNB Housing Finance Ltd,540173,PNBHOUSING
280,Wockhardt Ltd,532300,WOCKPHARMA
281,Five-Star Business Finance Ltd,543663,FIVESTAR
282,Shyam Metalics & Energy Ltd,543299,SHYAMMETL
283,ZF Commercial Vehicle Control System India Ltd,533023,ZFCVINDIA
284,Aster DM Healthcare Ltd,540975,ASTERDM
285,Devyani International Ltd,543330,DEVYANI
286,Piramal Enterprises Ltd,500302,PEL
287,Tata Chemicals Ltd,500770,TATACHEM
288,Krishna Institute of Medical Sciences Ltd,543308,KIMS
289,The Ramco Cements Ltd,500260,RAMCOCEM
290,Dr Lal Pathlabs Ltd,539524,LALPATHLAB
291,Vedant Fashions Ltd,543463,MANYAVAR
