,Name of the Company,BSE_Symbol,NSE_Symbol
1090,Vantage Knowledge Academy Ltd,539761,
1091,G M Breweries Ltd,507488,GMBREW
1092,ESAF Small Finance Bank Ltd,544020,ESAFSFB
1093,Algoquant Fintech Ltd,505725,
1094,Bajaj Steel Industries Ltd,507944,
1095,Expleo Solutions Ltd,533121,EXPLEOSOL
1096,Alldigi Tech Ltd,532633,ALLDIGI
1097,Jagsonpal Pharmaceuticals Ltd,507789,JAGSNPHARM
1098,Pacheli Industrial Finance Ltd,523862,
1099,Divgi Torqtransfer Systems Ltd,543812,DIVGIITTS
1100,Omaxe Ltd,532880,OMAXE
1101,Balmer Lawrie Investment Ltd,532485,
1102,John Cockerill India Ltd,500147,
1103,Sirca Paints India Ltd,543686,SIRCA
1104,Mukand Ltd,500460,MUKANDLTD
1105,Gensol Engineering Ltd,542851,GENSOL
1106,Wheels India Ltd,590073,WHEELS
1107,Sanghi Industries Ltd,526521,SANGHIIND
1108,ASM Technologies Ltd,526433,
1109,Finkurve Financial Services Ltd,508954,
1110,Themis Medicare Ltd,530199,THEMISMED
1111,NDR Auto Components Ltd,543214,NDRAUTO
1112,Jaykay Enterprises Ltd,500306,
1113,GOCL Corporation Ltd,506480,GOCLCORP
1114,BLS E-Services Ltd,544107,BLSE
1115,Panorama Studios International Ltd,539469,
1116,GRM Overseas Ltd,531449,GRMOVER
1117,Andrew Yule & Company Ltd,526173,ANDREWYU
1118,DCM Shriram Industries Ltd,523369,DCMSRIND
1119,Tourism Finance Corporation of India Ltd,526650,TFCILTD
1120,Renaissance Global Ltd,532923,RGL
1121,Astec Lifesciences Ltd,533138,ASTEC
1122,City Pulse Multiventures Ltd,542727,
1123,Chamanlal Setia Exports Ltd,530307,CLSEL
1124,Shankara Building Products Ltd,540425,SHANKARA
1125,D-Link India Ltd,533146,DLINKINDIA
1126,Agarwal Industrial Corporation Ltd,531921,AGARIND
1127,Talbros Automotive Components Ltd,505160,TALBROAUTO
1128,Everest Kanto Cylinder Ltd,532684,EKC
1129,Khazanchi Jewellers Ltd,543953,
1130,Udaipur Cement Works Ltd,530131,UDAICEMENT
1131,NIBE Ltd,535136,NIBE
1132,NACL Industries Ltd,524709,NACLIND
1133,Simplex Infrastructures Ltd,523838,SIMPLEXINF
1134,Kernex Microsystems (India) Ltd,532686,KERNEX
1135,Dynacons Systems & Solutions Ltd,532365,DSSL
1136,Dolat Algotech Ltd,505526,DOLATALGO
1137,Gandhar Oil Refinery (India) Ltd,544029,GANDHAR
1138,MIC Electronics Ltd,532850,MICEL
1139,Roto Pumps Ltd,517500,ROTO
1140,Aurum Proptech Ltd,539289,AURUM
1141,Dreamfolks Services Ltd,543591,DREAMFOLKS
1142,Hil Ltd,509675,HIL
1143,Mufin Green Finance Ltd,542774,MUFIN
1144,Heubach Colorants India Ltd,506390,HEUBACHIND
1145,Master Trust Ltd,511768,MASTERTR
1146,Ultramarine & Pigments Ltd,506685,
1147,Shanti Educational Initiatives Ltd,539921,
1148,Bliss GVS Pharma Ltd,506197,BLISSGVS
1149,Advait Energy Transitions Limited,543230,
1150,Paushak Ltd,532742,
1151,Arman Financial Services Ltd,531179,ARMANFIN
1152,India Nippon Electricals Ltd,532240,INDNIPPON
1153,I G Petrochemicals Ltd,500199,IGPL
1154,Lotus Chocolate Company Ltd,523475,
1155,Veritas (India) Ltd,512229,
1156,IFGL Refractories Ltd,540774,IFGLEXPOR
1157,Sterling Tools Ltd,530759,STERTOOLS
1158,GNA Axles Ltd,540124,GNA
1159,GRP Ltd,509152,GRPLTD
1160,Ester Industries Ltd,500136,ESTER
1161,J.G.Chemicals Ltd,544138,JGCHEM
1162,Raj Rayon Industries Ltd,530699,RAJRILTD
1163,Hester Biosciences Ltd,524669,HESTERBIO
1164,Atul Auto Ltd,531795,ATULAUTO
1165,Texmaco Infrastructure & Holdings Ltd,505400,TEXINFRA
1166,Dish TV India Ltd,532839,DISHTV
1167,Fairchem Organics Ltd,543252,FAIRCHEMOR
1168,Kabra Extrusion Technik Ltd,524109,KABRAEXTRU
1169,Praveg Ltd,531637,
1170,Shriram Properties Ltd,543419,SHRIRAMPPS
1171,TIL Ltd,505196,TIL
1172,Capital India Finance Ltd,530879,
1173,Reliance Industrial Infrastructure Ltd,523445,RIIL
1174,MSP Steel & Power Ltd,532650,MSPL
1175,Excel Industries Ltd,500650,EXCELINDUS
1176,Signpost India Ltd,544117,SIGNPOST
1177,Elpro International Ltd,504000,
1178,SMC Global Securities Ltd,543263,SMCGLOBAL
1179,Capital Small Finance Bank Ltd,544120,CAPITALSFB
1180,Asian Star Company Ltd,531847,
1181,Amines & Plasticizers Ltd,506248,AMNPLST
1182,Madras Fertilizers Ltd,590134,MADRASFERT
1183,Eraaya Lifespaces Ltd,531035,
1184,India Motor Parts & Accessories Ltd,590065,IMPAL
1185,Suryoday Small Finance Bank Ltd,543279,SURYODAY
1186,Barbeque-Nation Hospitality Ltd,543283,BARBEQUE
1187,GTPL Hathway Ltd,540602,GTPL
1188,Monte Carlo Fashions Ltd,538836,MONTECARLO
1189,Dhunseri Ventures Ltd,523736,DVL
1190,Asian Energy Services Ltd,530355,ASIANENE
1191,Borosil Scientific Ltd,544184,BOROSCI
1192,Alicon Castalloy Ltd,531147,ALICON
1193,Ramco Systems Ltd,532370,RAMCOSYS
1194,The Hi-Tech Gears Ltd,522073,HITECHGEAR
1195,BCL Industries Ltd,524332,BCLIND
1196,Allied Digital Services Ltd,532875,ADSL
1197,Yatra Online Ltd,543992,YATRA
1198,Matrimony.com Ltd,540704,MATRIMONY
1199,RIR Power Electronics Ltd,517035,
1200,Suyog Telematics Ltd,537259,SUYOG
1201,Hexa Tradex Ltd,534328,HEXATRADEX
1202,Century Enka Ltd,500280,CENTENKA
1203,Sri Adhikari Brothers Television Network Ltd,530943,SABTNL
1204,Tribhovandas Bhimji Zaveri Ltd,534369,TBZ
1205,Mercury EV-Tech Ltd,531357,
1206,B.L.Kashyap & Sons Ltd,532719,BLKASHYAP
1207,Lincoln Pharmaceuticals Ltd,531633,LINCOLN
1208,Saraswati Commercial (India) Ltd,512020,
1209,K&R Rail Engineering Ltd,514360,
1210,Kellton Tech Solutions Ltd,519602,KELLTONTEC
1211,Hariom Pipe Industries Ltd,543517,HARIOMPIPE
1212,GPT Infraprojects Ltd,533761,GPTINFRA
1213,Deccan Cements Ltd,502137,DECCANCE
1214,Chemfab Alkalis Ltd,541269,CHEMFAB
1215,Blue Cloud Softech Solutions Ltd,539607,
1216,AYM Syntex Ltd,508933,AYMSYNTEX
1217,KMC Speciality Hospitals (India) Ltd,524520,
1218,Eco Recycling Ltd,530643,
1219,Walchandnagar Industries Ltd,507410,WALCHANNAG
1220,Vintage Coffee & Beverages Ltd,538920,VINCOFE
1221,SPML Infra Ltd,500402,SPMLINFRA
1222,Shukra Pharmaceuticals Ltd,524632,
1223,BMW Industries Ltd,542669,
1224,Shivalik Rasayan Ltd,539148,SHIVALIK
1225,IRM Energy Ltd,544004,IRMENERGY
1226,5Paisa Capital Ltd,540776,5PAISA
1227,GPT Healthcare Ltd,544131,GPTHEALTH
1228,Manali Petrochemicals Ltd,500268,MANALIPETC
1229,Yamuna Syndicate Ltd,540980,
1230,Likhitha Infrastructure Ltd,543240,LIKHITHA
1231,Tuticorin Alkali Chemicals & Fertilizers Ltd,506808,
1232,Media Matrix Worldwide Ltd,512267,
1233,Rhetan TMT Ltd,543590,
1234,Xchanging Solutions Ltd,532616,XCHANGING
1235,Abans Holdings Ltd,543712,AHL
1236,Dolphin Offshore Enterprises (India) Ltd,522261,DOLPHIN
1237,Jaiprakash Associates Ltd,532532,JPASSOCIAT
1238,Shree Digvijay Cement Co. Ltd,502180,SHREDIGCEM
1239,Centrum Capital Ltd,501150,CENTRUM
1240,Om Infra Ltd,531092,OMINFRAL
1241,Royal Orchid Hotels Ltd,532699,ROHLTD
1242,Oriental Aromatics Ltd,500078,OAL
1243,Bharat Wire Ropes Ltd,539799,BHARATWIRE
1244,Yuken India Ltd,522108,YUKEN
1245,CIAN Agro Industries & Infrastructure Ltd,519477,
1246,R K Swamy Ltd,544136,RKSWAMY
1247,Sika Interplant Systems Ltd,523606,
1248,TGV Sraac Ltd,507753,
1249,Blue Pearl Agriventures Ltd,514440,
1250,Butterfly Gandhimathi Appliances Ltd,517421,BUTTERFLY
1251,Shree Pushkar Chemicals & Fertilizers Ltd,539334,SHREEPUSHK
1252,Radhika Jeweltech Ltd,540125,RADHIKAJWE
1253,Fedders Holding Ltd,511628,
1254,Banganga Paper Industries Ltd,512025,
1255,Rane (Madras) Ltd,532661,RML
1256,Gulshan Polyols Ltd,532457,GULPOLY
1257,Kokuyo Camlin Ltd,523207,KOKUYOCMLN
1258,Uniphos Enterprises Ltd,500429,UNIENTER
1259,Punjab Chemicals & Crop Protection Ltd,506618,PUNJABCHEM
1260,Crest Ventures Ltd,511413,CREST
1261,Mukka Proteins Ltd,544135,MUKKA
1262,Control Print Ltd,522295,CONTROLPR
1263,Sar Auto Products Ltd,538992,
1264,Steel Exchange India Ltd,534748,STEELXIND
1265,PNGS Gargi Fashion Jewellery Ltd,543709,
1266,Enkei Wheels India Ltd,533477,
1267,Sportking India Ltd,539221,SPORTKING
1268,Kothari Industrial Corporation Ltd,509732,
1269,Prakash Pipes Ltd,542684,PPL
1270,T.V. Today Network Ltd,532515,TVTODAY
1271,Beekay Steel Industries Ltd,539018,
1272,Vardhman Holdings Ltd,500439,VHL
1273,Pudumjee Paper Products Ltd,539785,PDMJEPAPER
1274,Saint-Gobain Sekurit India Ltd,515043,
1275,Andhra Sugars Ltd,590062,ANDHRSUGAR
1276,Sat Industries Ltd,511076,SATINDLTD
1277,RDB Infrastructure and Power Ltd,533285,
1278,IST Ltd,508807,
1279,Oriental Rail Infrastructure Ltd,531859,
1280,Kuantum Papers Ltd,532937,KUANTUM
1281,Kamdhenu Ltd,532741,KAMDHENU
1282,Z F Steering Gear (India) Ltd,505163,
1283,Heranba Industries Ltd,543266,HERANBA
1284,Indo Rama Synthetics (India) Ltd,500207,INDORAMA
1285,Manoj Vaibhav Gems N Jewellers Ltd,543995,MVGJL
1286,Allcargo Gati Ltd,532345,ACLGATI
1287,Faze Three Ltd,530079,FAZE3Q
1288,Dhanlaxmi Bank Ltd,532180,DHANBANK
1289,Mafatlal Industries Ltd,500264,
1290,Dhunseri Investments Ltd,533336,DHUNINV
1291,Electrotherm (India) Ltd,526608,ELECTHERM
1292,Lucent Industries Ltd,539682,
1293,JITF Infra Logistics Ltd,540311,JITFINFRA
1294,Tamil Nadu Newsprint & Papers Ltd,531426,TNPL
1295,Saurashtra Cement Ltd,502175,SAURASHCEM
1296,Ksolves India Ltd,543599,KSOLVES
1297,HLV Ltd,500193,HLVLTD
1298,Industrial & Prudential Investment Company Ltd,501298,
1299,Parsvnath Developers Ltd,532780,PARSVNATH
1300,Shiva Cement Ltd,532323,
1301,AVT Natural Products Ltd,519105,AVTNPL
1302,Pakka Ltd,516030,PAKKA
1303,GIC Housing Finance Ltd,511676,GICHSGFIN
1304,Shalimar Paints Ltd,509874,SHALPAINTS
1305,Oswal Green Tech Ltd,539290,OSWALGREEN
1306,U P Hotels Ltd,509960,
1307,BIGBLOC Construction Ltd,540061,BIGBLOC
1308,Eimco Elecon (India) Ltd,523708,EIMCOELECO
1309,Shree Ganesh Remedies Ltd,540737,
1310,NCL Industries Ltd,502168,NCLIND
1311,Rico Auto Industries Ltd,520008,RICOAUTO
1312,Sree Rayalaseema Hi-Strength Hypo Ltd,532842,SRHHYPOLTD
1313,Fratelli Vineyards Ltd,541741,
1314,Meghna Infracon Infrastructure Ltd,538668,
1315,Indo Amines Ltd,524648,INDOAMIN
1316,Kamat Hotels (India) Ltd,526668,KAMATHOTEL
1317,Rishabh Instruments Ltd,543977,RISHABH
1318,NINtec Systems Ltd,539843,NINSYS
1319,Zee Media Corporation Ltd,532794,ZEEMEDIA
1320,Sandesh Ltd,526725,SANDESH
1321,Max India Ltd,543223,MAXIND
1322,Kirloskar Electric Company Ltd,533193,KECL
1323,Kopran Ltd,524280,KOPRAN
1324,Selan Explorations Technology Ltd,530075,SELAN
1325,Automotive Stampings & Assemblies Ltd,520119,ASAL
1326,Anuh Pharma Ltd,506260,ANUHPHR
1327,BEML Land Assets Ltd,543898,BLAL
1328,Aditya Birla Money Ltd,532974,BIRLAMONEY
1329,Dhampur Sugar Mills Ltd,500119,DHAMPURSUG
1330,Vascon Engineers Ltd,533156,VASCONEQ
1331,Everest Industries Ltd,508906,EVERESTIND
1332,Silver Touch Technologies Ltd,543525,SILVERTUC
1333,Forbes Precision Tools & Machine Parts Ltd,544186,
1334,Credo Brands Marketing Ltd,544058,MUFTI
1335,Jagatjit Industries Ltd,507155,
1336,Oswal Agro Mills Ltd,500317,OSWALAGRO
1337,Snowman Logistics Ltd,538635,SNOWMAN
1338,Nelcast Ltd,532864,NELCAST
1339,Sadhana Nitro Chem Ltd,506642,SADHNANIQ
1340,Peninsula Land Ltd,503031,PENINLAND
1341,Amal Ltd,506597,
1342,Geecee Ventures Ltd,532764,GEECEE
1343,RACL Geartech Ltd,520073,RACLGEAR
1344,Subex Ltd,532348,SUBEXLTD
1345,Avadh Sugar & Energy Ltd,540649,AVADHSUGAR
1346,Arrow Greentech Ltd,516064,ARROWGREEN
1347,Ambika Cotton Mills Ltd,531978,AMBIKCO
1348,InfoBeans Technologies Ltd,543644,INFOBEAN
1349,New Delhi Television Ltd,532529,NDTV
1350,Gandhi Special Tubes Ltd,513108,GANDHITUBE
1351,R&B Denims Ltd,538119,
1352,Zuari Agro Chemicals Ltd,534742,ZUARI
1353,Ritco Logistics Ltd,542383,RITCO
1354,Integra Engineering India Ltd,505358,
1355,Swelect Energy Systems Ltd,532051,SWELECTES
1356,GHCL Textiles Ltd,543918,GHCLTEXTIL
1357,Bio Green Papers Ltd,534535,
1358,Popular Vehicles & Services Ltd,544144,PVSL
1359,Ganesh Benzoplast Ltd,500153,GANESHBE
1360,Jayant Agro Organics Ltd,524330,JAYAGROGN
1361,Frontier Springs Ltd,522195,
1362,Rajapalayam Mills Ltd,532503,
1363,Prime Securities Ltd,500337,PRIMESECU
1364,The Investment Trust of India Ltd,530023,THEINVEST
1365,Aptech Ltd,532475,APTECHT
1366,Premier Polyfilm Ltd,514354,PREMIERPOL
1367,Valiant Organics Ltd,540145,VALIANTORG
1368,Viceroy Hotels Ltd,523796,VHLTD
1369,Arihant Capital Markets Ltd,511605,ARIHANTCAP
1370,Hazoor Multi Projects Ltd,532467,
1371,Foods & Inns Ltd,507552,FOODSIN
1372,IRIS Business Services Ltd,540735,IRIS
1373,Dwarikesh Sugar Industries Ltd,532610,DWARKESH
1374,Zuari Industries Ltd,500780,ZUARIIND
1375,Fermenta Biotech Ltd,506414,
1376,Last Mile Enterprises Ltd,526961,
1377,Transpek Industry Ltd,506687,
1378,Taneja Aerospace & Aviation Ltd,522229,
1379,Mallcom (India) Ltd,539400,MALLCOM
1380,Uttam Sugar Mills Ltd,532729,UTTAMSUGAR
1381,Ratnaveer Precision Engineering Ltd,543978,RATNAVEER
1382,Magadh Sugar & Energy Ltd,540650,MAGADSUGAR
1383,Nahar Spinning Mills Ltd,500296,NAHARSPING
1384,Axtel Industries Ltd,523850,
1385,Satia Industries Ltd,539201,SATIA
1386,Mac Charles (India) Ltd,507836,
1387,TAAL Enterprises Ltd,539956,
1388,Munjal Auto Industries Ltd,520059,MUNJALAU
1389,Asian Hotels (North) Ltd,500023,ASIANHOTNR
1390,STEL Holdings Ltd,533316,STEL
1391,Chembond Chemicals Ltd,530871,CHEMBOND
1392,Vadilal Enterprises Ltd,519152,
1393,TransIndia Real Estate Ltd,543955,TREL
1394,Jay Bharat Maruti Ltd,520066,JAYBARMARU
1395,Morganite Crucible (India) Ltd,523160,
1396,DMCC Speciality Chemicals Ltd,506405,DMCC
1397,Colab Platforms Ltd,542866,
1398,Macfos Ltd,543787,
1399,SRM Contractors Ltd,544158,SRM
1400,Urja Global Ltd,526987,URJA
1401,Bodal Chemicals Ltd,524370,BODALCHEM
1402,Coffee Day Enterprises Ltd,539436,COFFEEDAY
1403,Eldeco Housing & Industries Ltd,523329,ELDEHSG
1404,Swiss Military Consumer Goods Ltd,523558,
1405,Innovana Thinklabs Ltd,544302,INNOVANA
1406,Ruby Mills Ltd,503169,RUBYMILLS
1407,VTM Ltd,532893,
1408,Chemcon Speciality Chemicals Ltd,543233,CHEMCON
1409,VLS Finance Ltd,511333,VLSFINANCE
1410,Apex Frozen Foods Ltd,540692,APEX
1411,Suraj Ltd,531638,SURAJLTD
1412,Allcargo Terminals Ltd,543954,ATL
1413,Hampton Sky Realty Ltd,526407,
1414,Bhageria Industries Ltd,530803,BHAGERIA
1415,Rushil Decor Ltd,533470,RUSHIL
1416,Asian Granito India Ltd,532888,ASIANTILES
1417,Sastasundar Ventures Ltd,533259,SASTASUNDR
1418,Spright Agro Ltd,531205,
1419,A.K.Capital Services Ltd,530499,
1420,NGL Fine Chem Ltd,524774,NGLFINE
1421,State Trading Corporation of India Ltd,512531,STCINDIA
1422,Gloster Ltd,542351,GLOSTERLTD
1423,Automobile Corporation Of Goa Ltd,505036,
1424,Bhartiya International Ltd,526666,BIL
1425,Hindustan Composites Ltd,509635,HINDCOMPOS
1426,Balaji Telefilms Ltd,532382,BALAJITELE
1427,Worth Investment & Trading Company Ltd,538451,
1428,Shri Jagdamba Polymers Ltd,512453,
1429,RSWM Ltd,500350,RSWM
1430,Best Agrolife Ltd,539660,BESTAGRO
1431,Kwality Pharmaceuticals Ltd,539997,
1432,20 Microns Ltd,533022,20MICRONS
1433,SBC Exports Ltd,542725,SBC
1434,RPP Infra Projects Ltd,533284,RPPINFRA
1435,Sarveshwar Foods Ltd,543688,SARVESHWAR
1436,Wardwizard Innovations & Mobility Ltd,538970,
1437,Repro India Ltd,532687,REPRO
1438,Radiant Cash Management Services Ltd,543732,RADIANTCMS
1439,Dharmaj Crop Guard Ltd,543687,DHARMAJ
1440,Speciality Restaurants Ltd,534425,SPECIALITY
1441,Entertainment Network (India) Ltd,532700,ENIL
1442,Jindal Poly Investment & Finance Company Ltd,536773,JPOLYINVST
1443,GFL Ltd,500173,GFLLIMITED
1444,Sutlej Textiles and Industries Ltd,532782,SUTLEJTEX
1445,Arihant Foundations & Housing Ltd,531381,
1446,Nitta Gelatin India Ltd,506532,
1447,Krystal Integrated Services Ltd,544149,KRYSTAL
1448,Onward Technologies Ltd,517536,ONWARDTEC
1449,CSL Finance Ltd,530067,CSLFINANCE
1450,Oricon Enterprises Ltd,513121,ORICONENT
1451,Hardwyn India Ltd,541276,HARDWYN
1452,Shalimar Agencies Ltd,539895,
1453,Zodiac Energy Ltd,543416,ZODIAC
1454,PVP Ventures Ltd,517556,PVP
1455,Empire Industries Ltd,509525,
1456,Wanbury Ltd,524212,WANBURY
1457,Voith Paper Fabrics India Ltd,522122,
1458,Permanent Magnets Ltd,504132,
1459,GVK Power & Infrastructure Ltd,532708,GVKPIL
1460,Medicamen Biotech Ltd,531146,MEDICAMEQ
1461,Sarla Performance Fibers Ltd,526885,SARLAPOLY
1462,KSE Ltd,519421,
1463,Mindteck (India) Ltd,517344,MINDTECK
1464,RRP Semiconductor Ltd,504346,
1465,Madhuveer Com 18 Network Ltd,531910,
1466,Linc Ltd,531241,LINC
1467,Nectar Lifescience Ltd,532649,NECLIFE
1468,IIRM Holdings India Ltd,526530,
1469,Hindustan Media Ventures Ltd,533217,HMVL
1470,Vikram Thermo (India) Ltd,530477,
1471,Tamil Nadu Petro Products Ltd,500777,TNPETRO
1472,Vashu Bhagnani Industries Ltd,532011,
1473,Sukhjit Starch & Chemicals Ltd,524542,SUKHJITS
1474,Primo Chemicals Ltd,506852,
1475,Spel Semiconductor Ltd,517166,
1476,Cheviot Company Ltd,526817,CHEVIOT
1477,TPL Plastech Ltd,526582,TPLPLASTEH
1478,CP Capital Limited,533260,CPCAP
1479,Alphalogic Techsys Ltd,542770,
1480,DIC India Ltd,500089,DICIND
1481,Consolidated Construction Consortium Ltd,532902,CCCL
1482,Elin Electronics Ltd,543725,ELIN
1483,Suratwwala Business Group Ltd,543218,SBGLP
1484,Manaksia Coated Metals & Industries Ltd,539046,MANAKCOAT
1485,Aryaman Financial Services Ltd,530245,
1486,Industrial Investment Trust Ltd,501295,IITL
1487,RBZ Jewellers Ltd,544060,RBZJEWEL
1488,Transworld Shipping Lines Ltd,520151,TRANSWORLD
1489,Bharat Parenterals Ltd,541096,
1490,Spencers Retail Ltd,542337,SPENCERS
1491,Bella Casa Fashion & Retail Ltd,539399,
1492,Gretex Corporate Services Ltd,543324,
1493,Synergy Green Industries Ltd,541929,SGIL
1494,Twamev Constructions & Infrastructure Ltd,532738,TICL
1495,S Chand & Company Ltd,540497,SCHAND
1496,Jindal Photo Ltd,532624,JINDALPHOT
1497,Ind-Swift Laboratories Ltd,532305,INDSWFTLAB
1498,Tracxn Technologies Ltd,543638,TRACXN
1499,Haryana Financial Corporation Ltd,530927,
1500,Emami Paper Mills Ltd,533208,EMAMIPAP
1501,Delton Cables Ltd,504240,
1502,Likhami Consulting Ltd,539927,
1503,Sical Logistics Ltd,520086,SICALLOG
1504,Kronox Lab Sciences Ltd,544187,KRONOX
1505,Vikas Lifecare Ltd,542655,VIKASLIFE
1506,Wim Plast Ltd,526586,
1507,Mishtann Foods Ltd,539594,
1508,Visaka Industries Ltd,509055,VISAKAIND
1509,Donear Industries Ltd,512519,DONEAR
1510,Artson Ltd,522134,
1511,OnMobile Global Ltd,532944,ONMOBILE
1512,BGR Energy Systems Ltd,532930,BGRENERGY
1513,Kriti Industries (India) Ltd,526423,KRITI
1514,Andhra Cements Ltd,532141,ACL
1515,Moneyboxx Finance Ltd,538446,
1516,Kisan Mouldings Ltd,530145,
1517,Manbro Industries Ltd,512595,
1518,Pyramid Technoplast Ltd,543969,PYRAMID
1519,Nicco Parks & Resorts Ltd,526721,
1520,TVS Electronics Ltd,532513,TVSELECT
1521,Ugar Sugar Works Ltd,530363,UGARSUGAR
1522,Prevest Denpro Ltd,543363,
1523,Menon Bearings Ltd,523828,MENONBE
1524,Advani Hotels & Resorts (India) Ltd,523269,ADVANIHOTR
1525,Lancer Containers Lines Ltd,539841,LANCER
1526,Vraj Iron & Steel Ltd,544204,VRAJ
1527,Tiger Logistics (India) Ltd,536264,
1528,Liberty Shoes Ltd,526596,LIBERTSHOE
1529,Integrated Industries Ltd,531889,
1530,Hindustan Motors Ltd,500500,HINDMOTORS
1531,Sreeleathers Ltd,535601,SREEL
1532,Mangalam Global Enterprise Ltd,544273,MGEL
1533,Hercules Hoists Ltd,505720,HERCULES
1534,A-1 Ltd,542012,
1535,Rane Brake Lining Ltd,532987,RBL
1536,Black Rose Industries Ltd,514183,
1537,Espire Hospitality Ltd,532016,
1538,VL E-Governance & IT Solutions Ltd,543958,VLEGOV
1539,Modi Naturals Ltd,519003,
1540,Artemis Electricals & Projects Ltd,542670,
1541,Arfin India Ltd,539151,
1542,Thirdwave Financial Intermediaries Ltd,531652,
1543,Raghuvir Synthetics Ltd,514316,
1544,Maan Aluminium Ltd,532906,MAANALU
1545,MKVentures Capital Ltd,514238,
1546,Sayaji Hotels Ltd,523710,
1547,DigiSpice Technologies Ltd,517214,DIGISPICE
1548,Plastiblends India Ltd,523648,PLASTIBLEN
1549,Khaitan Chemicals & Fertilizers Ltd,507794,KHAICHEM
1550,Albert David Ltd,524075,ALBERTDAVD
1551,Bedmutha Industries Ltd,533270,BEDMUTHA
1552,Rudra Ecovation Ltd,514010,
1553,Haldyn Glass Ltd,515147,
1554,Cybertech Systems & Software Ltd,532173,CYBERTECH
1555,FCS Software Solutions Ltd,532666,FCSSOFT
1556,Indo Borax & Chemicals Ltd,524342,INDOBORAX
1557,Kilitch Drugs (India) Ltd,524500,KILITCH
1558,PTL Enterprises Ltd,509220,PTL
1559,Gokul Refoils and Solvent Ltd,532980,GOKUL
1560,Nandan Denim Ltd,532641,NDL
1561,Affordable Robotic & Automation Ltd,541402,AFFORDABLE
1562,SIL Investments Ltd,521194,SILINV
1563,Kiran Vyapar Ltd,537750,
1564,Danlaw Technologies India Ltd,532329,
1565,Nahar Polyfilms Ltd,523391,NAHARPOLY
1566,Orient Paper & Industries Ltd,502420,ORIENTPPR
1567,Khadim India Ltd,540775,KHADIM
1568,Avonmore Capital & Management Services Ltd,511589,AVONMORE
1569,Sunshield Chemicals Ltd,530845,
1570,Prozone Realty Ltd,534675,PROZONER
1571,Emkay Global Financial Services Ltd,532737,EMKAY
1572,Essar Shipping Ltd,533704,ESSARSHPNG
1573,Davangere Sugar Company Ltd,543267,DAVANGERE
1574,Shree Rama Multi-Tech Ltd,532310,SHREERAMA
1575,Reliance Communications Ltd,532712,RCOM
1576,Captain Polyplast Ltd,536974,
1577,Stovec Industries Ltd,504959,
1578,Vishal Fabrics Ltd,538598,VISHAL
1579,United Drilling Tools Ltd,522014,UNIDT
1580,Naperol Investments Ltd,500298,
1581,Kriti Nutrients Ltd,533210,KRITINUT
1582,XT Global Infotech Ltd,531225,XTGLOBAL
1583,Global Surfaces Ltd,543829,GSLSU
1584,Medico Remedies Ltd,540937,MEDICO
1585,Phoenix Township Ltd,537839,
1586,SKM Egg Products Export (India) Ltd,532143,SKMEGGPROD
1587,Niyogin Fintech Ltd,538772,
1588,Veljan Denison Ltd,505232,
1589,W S Industries (India) Ltd,504220,WSI
1590,Banswara Syntex Ltd,503722,BANSWRAS
1591,Modern Insulators Ltd,515008,
1592,Shriram Asset Management Co Ltd,531359,
1593,Unifinz Capital India Ltd,541358,
1594,Mazda Ltd,523792,MAZDA
1595,Pavna Industries Ltd,543915,PAVNAIND
1596,Andhra Petrochemicals Ltd,500012,
1597,Nikhil Adhesives Ltd,526159,
1598,Munjal Showa Ltd,520043,MUNJALSHOW
1599,India Finsec Ltd,535667,
1600,Nila Spaces Ltd,542231,NILASPACES
1601,Muthoot Capital Services Ltd,511766,MUTHOOTCAP
1602,POCL Enterprises Ltd,539195,
1603,Sunshine Capital Ltd,539574,
1604,HP Adhesives Ltd,543433,HPAL
1605,IFB Agro Industries Ltd,507438,IFBAGRO
1606,Nova Agritech Ltd,544100,NOVAAGRI
1607,Bartronics India Ltd,532694,ASMS
1608,Shri Venkatesh Refineries Ltd,543373,
1609,Orbit Exports Ltd,512626,ORBTEXP
1610,Remsons Industries Ltd,530919,REMSONSIND
1611,A B Infrabuild Ltd,544281,ABINFRA
1612,ADC India Communications Ltd,523411,
1613,Evexia Lifecare Ltd,524444,
1614,Softtech Engineers Ltd,543470,SOFTTECH
1615,Race Eco Chain Ltd,537785,RACE
1616,Shraddha Prime Projects Ltd,531771,
1617,Jenburkt Pharmaceuticals Ltd,524731,
1618,Sakuma Exports Ltd,532713,SAKUMA
1619,International Conveyors Ltd,509709,INTLCONV
1620,Bharat Seats Ltd,523229,BHARATSE
1621,Forbes & Company Ltd,502865,
1622,A K Spintex Ltd,539300,
1623,NILE Ltd,530129,
1624,Alankit Ltd,531082,ALANKIT
1625,Sinclairs Hotels Ltd,523023,SINCLAIR
1626,Uravi Defence & Technology Ltd,543930,URAVIDEF
1627,LKP Finance Ltd,507912,
1628,Modison Ltd,506261,MODISONLTD
1629,Sunita Tools Ltd,544001,
1630,Nagarjuna Fertilizers & Chemicals Ltd,539917,NAGAFERT
1631,Birla Cable Ltd,500060,BIRLACABLE
1632,HCL Infosystems Ltd,500179,HCL-INSYS
1633,Genus Paper & Boards Ltd,538961,GENUSPAPER
1634,Brand Concepts Ltd,543442,BCONCEPTS
1635,Kinetic Engineering Ltd,500240,
1636,CL Educate Ltd,540403,CLEDUCATE
1637,Vikas Ecotech Ltd,530961,VIKASECO
